,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,province,region
16768,7700,HOUSE,HOUSE,230000,3,502,1,0,0,0,None,0,None,373.0,0,0,TO_BE_DONE_UP,Hainaut,Region Wallonne
16769,4460,HOUSE,MIXED_USE_BUILDING,189000,3,160,1,0,0,1,25.0,1,115.0,225.0,2,0,JUST_RENOVATED,Liege,Region Wallonne
16771,1420,HOUSE,VILLA,375000,4,191,1,0,0,1,None,1,None,479.0,0,0,GOOD,Brabant_Wallon,Region Wallonne
16772,7050,APARTMENT,GROUND_FLOOR,279214,3,109,1,0,0,1,39.0,0,None,0.0,2,0,any_information,Hainaut,Region Wallonne
16773,2870,HOUSE,VILLA,675000,3,315,1,0,0,1,40.0,1,None,2136.0,0,0,any_information,Anvers,Region Flamande
16774,8790,APARTMENT,APARTMENT,285000,2,85,1,0,0,1,30.0,1,None,0.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
16775,2220,HOUSE,HOUSE,452300,4,240,1,0,0,0,None,0,None,720.0,4,0,AS_NEW,Anvers,Region Flamande
16776,9850,APARTMENT,APARTMENT,179000,1,80,1,0,0,0,None,0,None,0.0,0,0,AS_NEW,Flandre-Orientale,Region Flamande
16777,6001,APARTMENT,APARTMENT,76000,1,56,1,0,0,1,1.0,0,None,0.0,2,0,any_information,Hainaut,Region Wallonne
16779,1800,APARTMENT,APARTMENT,279000,2,105,1,0,0,1,None,0,None,0.0,0,0,AS_NEW,Brabant_Flamand,Region Flamande
16782,4430,HOUSE,HOUSE,332000,4,197,1,0,0,1,36.0,1,330.0,0.0,2,0,any_information,Liege,Region Wallonne
16783,4101,APARTMENT,APARTMENT,269000,3,110,1,1,0,1,12.0,0,None,0.0,2,0,AS_NEW,Liege,Region Wallonne
16784,9280,HOUSE,HOUSE,195000,3,132,1,0,0,1,None,0,None,236.0,2,0,GOOD,Flandre-Orientale,Region Flamande
16785,1300,HOUSE,HOUSE,250000,3,120,1,0,0,1,25.0,1,None,290.0,2,0,TO_BE_DONE_UP,,Region Wallonne
16786,1400,APARTMENT,APARTMENT,139000,2,61,1,0,0,0,None,0,None,0.0,2,0,GOOD,Brabant_Wallon,Region Wallonne
16787,9308,HOUSE,HOUSE,265000,4,159,1,0,0,1,None,0,None,398.0,3,0,any_information,Flandre-Orientale,Region Flamande
16788,7712,APARTMENT,LOFT,299000,3,173,1,0,0,1,None,0,None,0.0,2,0,JUST_RENOVATED,Hainaut,Region Wallonne
16789,1640,HOUSE,HOUSE,250000,1,362,0,0,0,0,None,0,None,157.0,3,0,TO_RESTORE,Brabant_Flamand,Region Flamande
16790,1200,APARTMENT,APARTMENT,495000,3,139,1,0,0,1,13.0,0,None,0.0,3,0,GOOD,Bruxelles,Bruxelles-capitale
16792,1060,APARTMENT,APARTMENT,325000,2,80,1,0,0,1,8.0,0,None,0.0,2,0,AS_NEW,Bruxelles,Bruxelles-capitale
16793,1340,APARTMENT,APARTMENT,410000,2,106,1,0,0,1,20.0,0,None,0.0,3,0,any_information,Brabant_Wallon,Region Wallonne
16794,2221,HOUSE,VILLA,615000,4,370,1,0,0,0,None,0,None,2800.0,4,0,AS_NEW,Anvers,Region Flamande
16795,9000,APARTMENT,APARTMENT,475000,3,120,1,0,0,1,17.0,1,None,0.0,2,0,AS_NEW,,Region Wallonne
16797,4460,HOUSE,HOUSE,205000,3,115,1,0,0,1,25.0,0,None,517.0,2,0,GOOD,Liege,Region Wallonne
16798,4651,HOUSE,VILLA,385000,4,215,1,0,0,1,20.0,0,None,1200.0,4,0,GOOD,Liege,Region Wallonne
16800,8400,APARTMENT,APARTMENT,295000,2,78,0,0,0,1,14.0,0,None,0.0,0,0,any_information,Flandre-Occidentale,Region Flamande
16801,9402,HOUSE,HOUSE,295000,4,150,1,0,0,1,25.0,0,None,520.0,3,0,JUST_RENOVATED,Flandre-Orientale,Region Flamande
16802,1030,HOUSE,HOUSE,650000,6,232,0,0,0,1,15.0,1,25.0,115.0,2,0,TO_RENOVATE,Bruxelles,Bruxelles-capitale
16803,8620,APARTMENT,PENTHOUSE,499000,3,120,0,0,0,1,None,0,None,0.0,0,0,any_information,Flandre-Occidentale,Region Flamande
16804,8870,HOUSE,HOUSE,189000,3,220,1,0,0,1,None,0,None,153.0,0,0,GOOD,Flandre-Occidentale,Region Flamande
16805,3090,HOUSE,VILLA,1295000,6,467,1,0,0,1,None,1,2300.0,2420.0,4,1,TO_BE_DONE_UP,Brabant_Flamand,Region Flamande
16806,4000,APARTMENT,APARTMENT,269000,2,115,1,0,0,1,13.0,0,None,0.0,0,0,GOOD,,Region Wallonne
16808,2040,APARTMENT,APARTMENT,285000,2,103,1,0,0,0,None,0,None,0.0,0,0,AS_NEW,Anvers,Region Flamande
16809,6940,HOUSE,COUNTRY_COTTAGE,117500,1,54,1,0,0,1,10.0,0,None,0.0,0,0,TO_BE_DONE_UP,Luxembourg,Region Wallonne
16810,9000,HOUSE,HOUSE,379000,4,159,1,0,0,1,34.0,0,None,194.0,0,0,any_information,,Region Wallonne
16811,8870,APARTMENT,APARTMENT,303000,3,122,0,0,0,1,13.0,0,None,0.0,0,0,AS_NEW,Flandre-Occidentale,Region Flamande
16812,1332,APARTMENT,DUPLEX,890000,4,231,1,0,0,1,38.0,0,None,0.0,4,0,AS_NEW,Brabant_Wallon,Region Wallonne
16813,3510,HOUSE,HOUSE,372000,3,217,1,0,1,0,None,0,None,630.0,4,0,AS_NEW,Limbourg,Region Flamande
16814,9000,HOUSE,HOUSE,900000,3,204,1,0,0,0,None,1,28.0,0.0,2,0,TO_BE_DONE_UP,,Region Wallonne
16815,4633,APARTMENT,APARTMENT,215000,1,77,0,0,0,1,5.0,0,None,0.0,0,0,any_information,Liege,Region Wallonne
16816,9052,APARTMENT,APARTMENT,470000,3,115,1,0,0,1,22.0,1,None,0.0,0,0,any_information,Flandre-Orientale,Region Flamande
16817,4100,HOUSE,HOUSE,249500,3,160,1,0,0,1,20.0,1,900.0,1025.0,2,0,GOOD,Liege,Region Wallonne
16818,4020,HOUSE,HOUSE,80000,1,68,1,0,1,0,None,0,None,30.0,0,0,TO_RENOVATE,Liege,Region Wallonne
16819,9750,HOUSE,HOUSE,245000,3,152,0,0,0,1,None,1,None,125.0,2,0,AS_NEW,Flandre-Orientale,Region Flamande
