,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
198,9400,1,APARTMENT,457500,4,175,1,0,0,1,None,0,None,0,0,0,AS_NEW
199,4170,0,HOUSE,110000,2,69,0,0,0,1,17.0,1,80.0,144,2,0,TO_RENOVATE
200,4020,0,HOUSE,138000,4,92,0,0,0,1,7.0,0,None,91,2,0,JUST_RENOVATED
201,2018,1,APARTMENT,349500,2,124,1,0,0,1,7.0,0,None,0,0,0,AS_NEW
202,7321,0,HOUSE,137450,3,136,1,0,0,1,21.0,0,None,198,2,0,AS_NEW
203,4052,0,VILLA,550000,4,270,1,0,0,1,None,1,1200.0,1400,4,0,GOOD
204,9300,0,HOUSE,249000,3,226,1,0,0,0,None,1,11.0,110,0,0,GOOD
205,8540,1,APARTMENT,229000,2,108,0,0,0,0,None,0,None,0,0,0,AS_NEW
206,9660,0,HOUSE,162000,2,210,0,0,0,0,None,0,None,120,2,0,TO_RENOVATE
207,1420,0,HOUSE,435000,4,170,1,0,0,1,25.0,1,200.0,280,2,0,GOOD
208,9940,0,HOUSE,335000,3,175,1,0,0,1,50.0,0,None,353,3,0,GOOD
209,6760,0,HOUSE,177000,2,100,1,0,0,0,None,0,None,272,2,0,GOOD
210,6210,1,APARTMENT,150000,2,80,1,0,0,0,None,0,None,0,4,0,AS_NEW
211,4860,0,VILLA,320000,5,204,1,0,0,1,15.0,1,350.0,428,3,0,unknown
212,3620,1,APARTMENT,249084,2,84,0,0,0,1,22.0,0,None,0,0,0,unknown
213,8800,1,APARTMENT,136700,1,47,1,0,0,1,None,1,None,0,0,0,unknown
214,6690,0,HOUSE,349000,5,486,1,0,0,1,None,0,None,1056,4,0,GOOD
215,2020,0,HOUSE,269000,4,157,1,0,0,0,None,0,None,82,2,0,AS_NEW
216,9160,0,MIXED_USE_BUILDING,1400000,4,666,0,0,1,1,None,1,None,4398,4,1,GOOD
217,6120,0,HOUSE,165000,2,80,1,0,0,0,None,0,None,0,3,0,GOOD
218,3040,1,APARTMENT,346821,2,107,1,0,0,1,None,0,None,0,0,0,unknown
219,1180,1,APARTMENT,249000,2,70,1,0,0,1,4.0,0,None,0,3,0,GOOD
220,1190,1,APARTMENT,450000,2,120,1,0,0,0,None,0,None,0,2,0,JUST_RENOVATED
221,9040,1,APARTMENT,175000,1,59,0,0,0,1,None,0,None,0,2,0,GOOD
222,2170,1,APARTMENT,134000,1,54,1,0,1,0,None,0,None,0,2,0,TO_BE_DONE_UP
223,9070,0,HOUSE,238000,1,116,1,0,0,1,None,0,None,140,3,0,TO_BE_DONE_UP
224,7390,0,HOUSE,324900,4,331,1,0,0,1,40.0,1,274.0,486,3,0,GOOD
225,1180,1,GROUND_FLOOR,288000,1,65,0,0,0,0,None,0,None,0,2,0,TO_RENOVATE
226,2000,0,HOUSE,415000,2,126,0,0,0,1,12.0,0,None,42,2,0,AS_NEW
227,9470,1,APARTMENT,210000,2,93,0,0,0,0,None,0,None,0,0,0,GOOD
228,2060,0,HOUSE,225000,2,86,1,0,0,1,12.0,0,None,43,1,0,GOOD
229,8580,0,HOUSE,199000,2,133,0,0,0,0,None,0,None,346,0,0,unknown
230,4000,1,APARTMENT,690000,8,292,0,0,0,1,5.0,0,None,0,0,0,GOOD
231,5000,1,FLAT_STUDIO,40000,1,24,1,0,0,0,None,0,None,0,0,0,unknown
232,1420,1,PENTHOUSE,789000,3,168,1,0,0,1,19.0,0,None,0,4,0,unknown
233,1490,1,DUPLEX,230000,3,110,1,0,0,1,23.0,0,None,0,2,0,TO_BE_DONE_UP
234,4180,0,HOUSE,229000,4,312,0,0,0,1,20.0,0,None,9732,4,0,TO_RENOVATE
235,9340,0,HOUSE,224000,3,160,1,0,0,1,None,0,None,130,3,0,GOOD
236,8300,1,APARTMENT,475000,2,100,0,0,0,1,None,0,None,0,0,0,AS_NEW
237,1400,0,EXCEPTIONAL_PROPERTY,650000,6,312,1,0,1,1,60.0,1,1830.0,2050,2,0,GOOD
238,7000,0,HOUSE,135000,4,80,1,0,0,0,None,0,None,39,2,0,TO_RENOVATE
239,1770,0,HOUSE,349000,4,142,1,0,0,1,16.0,0,None,0,3,0,unknown
240,8300,1,APARTMENT,795000,2,78,1,0,0,1,None,0,None,0,2,0,AS_NEW
241,4100,1,APARTMENT,209000,2,107,1,0,0,0,None,0,None,0,0,0,unknown
242,1180,1,PENTHOUSE,1450000,3,198,1,0,0,1,135.0,0,None,0,4,0,unknown
243,2000,1,SERVICE_FLAT,1200000,2,143,1,0,0,1,44.0,0,None,0,0,1,AS_NEW
244,9300,0,HOUSE,275000,3,202,1,0,0,1,30.0,1,450.0,585,3,0,TO_RENOVATE
245,1040,1,APARTMENT,219000,1,55,1,0,0,1,3.0,0,None,0,3,0,TO_RENOVATE
246,6700,1,APARTMENT,185000,2,105,1,0,0,0,None,0,None,0,2,0,JUST_RENOVATED
247,3370,0,HOUSE,425000,3,460,1,0,0,1,228.0,1,94.0,850,4,0,GOOD
248,2000,1,LOFT,325000,1,90,1,0,0,0,None,0,None,0,2,0,JUST_RENOVATED
249,4500,1,APARTMENT,199000,2,87,0,0,0,1,5.0,0,None,0,2,0,unknown
250,8490,1,DUPLEX,219000,3,112,1,0,0,0,None,0,None,0,2,0,unknown
251,7500,0,HOUSE,310000,4,250,1,0,0,1,None,0,None,0,2,0,GOOD
252,1050,1,APARTMENT,295000,2,100,1,0,0,1,1.0,0,None,0,2,0,unknown
253,1420,0,HOUSE,249000,2,97,1,0,0,1,16.0,1,238.0,323,3,0,GOOD
254,2230,0,HOUSE,448000,6,432,1,0,1,0,None,1,None,1309,4,0,TO_BE_DONE_UP
255,7090,0,APARTMENT_BLOCK,220000,3,203,0,0,0,1,22.0,0,None,0,2,0,TO_BE_DONE_UP
256,3770,1,DUPLEX,215000,2,123,0,0,0,0,None,1,None,0,2,0,AS_NEW
257,4420,0,APARTMENT_BLOCK,295000,4,237,0,0,0,0,None,1,42.0,0,3,0,unknown
258,9940,1,APARTMENT,279000,2,97,1,0,0,1,8.0,0,None,0,2,0,AS_NEW
259,9900,0,HOUSE,438510,3,231,0,0,0,0,None,0,None,360,3,0,unknown
260,8750,1,APARTMENT,256000,2,92,1,0,0,1,19.0,1,80.0,0,2,0,GOOD
261,9600,0,HOUSE,235000,3,199,1,0,0,1,None,1,None,141,2,0,AS_NEW
262,2900,0,HOUSE,239000,3,165,1,0,0,1,None,0,None,187,0,0,TO_RENOVATE
263,9890,0,HOUSE,285000,3,125,0,0,0,0,None,1,None,495,0,0,GOOD
264,1000,1,APARTMENT,399000,2,80,1,0,0,1,8.0,1,40.0,0,3,0,AS_NEW
265,1050,1,APARTMENT,320000,2,80,1,0,0,1,None,0,None,0,0,0,GOOD
