,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
8156,1180,HOUSE,VILLA,4500000,7,500,0,0,0,1,,0,,4700,4,1,TO_RENOVATE
8158,1000,APARTMENT,APARTMENT,312000,2,92,1,0,0,1,22,0,,,,0,AS_NEW
8160,8890,APARTMENT,APARTMENT,255952,2,104,1,0,0,1,22,1,,,,0,
8162,4020,HOUSE,HOUSE,121000,3,85,1,0,0,1,45,0,,69,,0,GOOD
8164,2800,APARTMENT,APARTMENT,299000,2,,1,0,0,1,30,0,,,,0,AS_NEW
8166,7370,APARTMENT,APARTMENT,165000,2,100,1,0,0,0,,0,,,,0,AS_NEW
8168,8620,APARTMENT,APARTMENT,320000,2,95,1,0,0,1,6,0,,,2,0,GOOD
8170,4900,APARTMENT,PENTHOUSE,270000,2,108,1,0,0,1,26,0,,,3,0,JUST_RENOVATED
8172,4800,HOUSE,HOUSE,215000,4,,1,0,0,1,30,1,40,0,2,0,GOOD
8174,1050,HOUSE,HOUSE,955000,6,280,0,0,0,0,,0,,180,2,0,TO_BE_DONE_UP
8176,1840,APARTMENT,APARTMENT,298000,3,145,0,0,0,1,,0,,,,0,AS_NEW
8178,2270,APARTMENT,APARTMENT,298942,2,110,1,0,0,1,7,0,,,2,0,GOOD
8180,8870,APARTMENT,APARTMENT,197505,2,99,1,0,0,1,8,1,,,,0,JUST_RENOVATED
8182,7742,HOUSE,HOUSE,399000,5,210,1,0,0,0,,1,,1011,4,0,GOOD
8184,2018,APARTMENT,DUPLEX,249000,1,81,0,0,0,1,2,0,,,2,0,AS_NEW
8186,8000,APARTMENT,APARTMENT,249740,2,79,0,0,0,1,,1,,,,0,
8188,4020,HOUSE,HOUSE,235000,4,160,1,0,0,1,45,0,,105,2,0,
8190,1160,APARTMENT,APARTMENT,925000,3,146,1,0,0,1,32,0,,,2,0,AS_NEW
8192,4430,APARTMENT,APARTMENT,149000,4,140,1,0,0,1,3,0,,,3,0,TO_BE_DONE_UP
8194,9000,APARTMENT,APARTMENT,340000,3,127,1,0,0,0,,0,,,2,0,JUST_RENOVATED
8196,7334,HOUSE,HOUSE,175000,3,170,1,0,0,1,,0,,770,4,0,GOOD
8198,3582,HOUSE,HOUSE,409000,3,182,1,0,0,1,12,1,132,540,4,0,GOOD
8200,1850,HOUSE,VILLA,625000,4,288,1,0,0,0,,0,,765,4,0,TO_BE_DONE_UP
8202,1000,APARTMENT,FLAT_STUDIO,60000,1,,1,0,0,0,,0,,,,0,
8204,9300,HOUSE,HOUSE,100000,3,,1,0,0,0,,0,,128,2,0,
8206,1500,APARTMENT,APARTMENT,324000,2,118,0,0,0,0,,0,,,,0,
8208,3500,APARTMENT,APARTMENT,555000,3,,0,0,0,1,,0,,,,0,
8210,9900,APARTMENT,APARTMENT,225000,2,80,0,0,0,1,,0,,,2,0,GOOD
8212,9340,HOUSE,HOUSE,249000,3,137,1,0,0,0,,0,,0,,0,JUST_RENOVATED
8214,1420,APARTMENT,GROUND_FLOOR,447225,2,194,1,0,0,1,,1,,,,0,AS_NEW
8216,1370,HOUSE,HOUSE,249950,3,173,1,0,0,1,31,0,,115,2,0,GOOD
